Conference Paper Id,Paper Id,Filename,Page Start,Page End,Number Of Pages,DOI,Topic Id,Authors,Organisations,Title,Keywords,Abstract,Conference Id
simbuild2006_SB06_082_090,SB06_082_090,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_082_090.pdf,82,90,9,,,"Lisa A., Engblom;  Leon R., Glicksman;  Leslie K., Norford","Building Technology Program, Departments of Mechanical Engineering and Architecture, Massachusetts Institute of Technology, Cambridge, MA 02139 ",A Scenario Analysis of Retrofit Strategies for Reducing Energy Consumption in Norwegian Office Buildings,,"Buildings in Norway account for more than a third of national energy consumption and demand-side management has significant savings potential. Due to the long lifetimes of existing buildings, retrofits rather than efficient new construction are the best way to significantly affect national energy consumption on a short time scale. A steady-state computer model was written to predict annual energy consumption of model buildings that represent typical office buildings in Norway. The program was then used to predict the new energy consumption after applying retrofit strategies. Reductions in energy consumption of up to 45% were possible by simply changing the control settings. Reductions of up to 80% were possible through complete renovation.",simbuild2006
simbuild2006_SB06_091_098,SB06_091_098,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_091_098.pdf,91,98,8,,,"Peng, Xu",Lawrence Berkeley National Laboratory ,Evaluation of Demand Shifting Strategies with Thermal Mass in Two Large Commercial Buildings,,"Building thermal mass can be used to reduce the peak cooling load. For example, in summer, the building mass can be pre-cooled during non-peak hours in order to reduce the cooling load in the peak hours. As a result, the cooling load is shifted in time and the peak demand is reduced. The building mass can be cooled most effectively during unoccupied hours because it is possible to relax the comfort constraints. While the benefits of demand shift are certain, different thermal mass discharge strategies result in different cooling load reduction and savings. The goal of an optimized discharge strategy is to maximize the thermal mass discharge and minimize the possibility of rebounds before the shed period ends. A series of filed tests were carefully planned and conducted in two commercial buildings in Northern California to investigate the effects of various precooling and demand shed strategies. Field tests demonstrated the potential of cooling load reduction in peak hours and importance of discharge strategies to avoid rebounds. EnergyPlus simulation models were constructed and calibrated to investigate different kind of recovery strategies. The results indicate the value of pre-cooling in maximizing the electrical shed in the on-peak period. The results also indicate that the dynamics of the shed need to be managed in order to avoid discharging the thermal capacity of the building too quickly, resulting in high cooling load and electric demand before the end of the shed period. An exponential trajectory for the zone set-point during the discharge period yielded good results and is recommended for practical implementation.",simbuild2006
simbuild2006_SB06_099_106,SB06_099_106,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_099_106.pdf,99,106,8,,,"Kyoung-ho, Lee;  James, Braun","Ray W. Herrick Laboratories, School of Mechanical Engineering, Purdue University, West Lafayette, IN ",Development of Methods for Determining Demand-Limiting Setpoint Trajectories in Commercial Buildings Using Short-Term Data Analysis,,"This paper presents simple approaches for estimating building zone temperature set-point variations that minimize peak cooling demand during critical demand periods. Three different methods were developed that are termed the semi-analytical (SA), exponential setpoint equation-based semi-analytical (ESA), and load weighted-averaging (WA) methods. The three methods are different in terms of requirements for input data and ability to reduce peak demand. The SA and ESA methods employ simple inverse building models trained with short-term data and use analytical solutions from the models to determine setpoint trajectories. The WA method is a data-based method in which an optimal weighing factor is found that minimizes a weightedaverage of two loads. In addition to determining setpoint trajectories, the methods provide estimates of peak load reduction. A companion paper (Lee and Braun 2006b) presents evaluations of the peak load reduction potential associated with implementation of these methods.",simbuild2006
simbuild2006_SB06_107_114,SB06_107_114,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_107_114.pdf,107,114,8,,,"Kyoung-ho, Lee;  James, Braun","Ray W. Herrick Laboratories, School of Mechanical Engineering, Purdue University, West Lafayette, IN ",Evaluation of Methods for Determining Demand-Limiting Setpoint Trajectories in Commercial Buildings Using Short-Term Data Analysis,,"This paper presents the evaluation of three different methods for determining zone temperature setpoint variations that limit peak electrical demand in buildings. The methods were developed in a companion paper (Lee and Braun 2006b) and are evaluated in the current paper through simulation for two different buildings. One of the buildings houses the Iowa Energy Center and is representative of a small commercial building. This building was modeled using a detailed inverse model that was developed in a previous study. The other building is the Santa Rosa Federal building, which is representative of a large commercial building. This building was modeled using Energy Plus, which was calibrated using test data. All three methods worked well in terms of peak demand reduction. In addition, two of the methods provided good predictions of peak load reduction for both buildings.",simbuild2006
simbuild2006_SB06_115_120,SB06_115_120,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_115_120.pdf,115,120,6,,,"Huang, Zhizhong; Pan, Yiqun","Sino-German College of Applied Sciences, Tongji University, Shanghai 200092, China ",A Statistics-Based Method for Hourly Solar Radiation Estimation,,"A statistics-based method for hourly solar radiation estimation is introduced in the paper. On the basis of hourly extra-atmospheric horizontal solar radiation calculation, a statistical method is adopted to find out the relationship between solar radiation in normal direction and total solar radiation on extra-atmospheric horizontal, as well as the relationship between diffuse solar radiation and solar radiation in normal direction from typical meteorological year data. By these two relationships and other relative data found in hourly real meteorological year data, the hourly solar radiation data of real meteorological year can be calculated.",simbuild2006
simbuild2006_SB06_121_128,SB06_121_128,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_121_128.pdf,121,128,8,,,"Amr, Bagneid;  Jeffrey, Haberl","College of Architecture, Texas A&M University ",A Calibrated Computer Model for the Thermal Simulation of Courtyard Microclimates,,"This paper describes a calibrated stand-alone courtyard microclimate model. This model is considered to be the first calibrated computer program for the simulation of courtyard microclimates. In order to accomplish this a calibrated simplified thermal simulation model for predicting courtyard microclimates was created that is based on a Finite Difference (FD) simulation model of an RC thermal network of the courtyard. The courtyard microclimate model was validated against field data from a case study courtyard house. The model allowed running parametric sensitivity studies on the courtyard thermal simulation factors. The model was then used to produce annual hourly courtyard microclimate weather file for use by the DOE-2 building thermal simulation program. This courtyard microclimate model is also a part of a larger research project that aims to analyze the thermal performance of courtyard houses. The overall project measured a case study courtyard house in the winter and summer for the calibration of the simulated courtyard microclimate, and then used the simulated microclimate weather file in a DOE-2 simulation of the courtyard house to better predict the courtyard house thermal performance. This paper will describe the method used in creating the courtyard model and present results of its application to the case study courtyard.",simbuild2006
simbuild2006_SB06_129_139,SB06_129_139,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_129_139.pdf,129,139,11,,,"Jaya, Mukhopadhyay;  Jeff S., Haberl","Energy Systems Laboratory, Texas Engineering Experiment Station, Texas A&M University",Performance of High-Performance Glazing in IECC Compliant Building Simulation Model,,"Current specifications for glazing in the 2000 IECC code adopted by Texas imply the use of low-E glazing. However, the trends in the development of high-performance glazing technology indicate that windows have the potential to provide net positive energy benefits making it inevitable for future versions of the IECC to incorporate high-performance glazing. This study examines the performance of a number of such glazing options when incorporated in the IECC compliant residential building. The results show that in some cases the resultant energy consumption obtained from installing high-performance windows was lower than the energy consumption of a base-case windowless house (Approximately 6% total energy savings, and 40% heating).",simbuild2006
simbuild2006_SB06_140_144,SB06_140_144,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_140_144.pdf,140,144,5,,,"Dariush, Arasteh;  Charlie, Curcija;  Joe, Huang;  Charlie, Huizenga;  Christian, Kohler","Lawrence Berkeley National Laboratory, Berkeley CA; Carli Inc, Amherst MA; University of California, Berkeley CA ",Evaluating Fenestration Products for Zero-Energy Buildings: Issues for Discussion,,"Computer modeling to determine fenestration product energy properties (U-factor, SHGC, VT) has emerged as the most cost-effective and accurate means to quantify them. Fenestration product simulation tools have been effective in increasing the use of low-e coatings and gas fills in insulating glass and in the widespread use of insulating frame designs and materials. However, for more efficient fenestration products (low heat loss products, dynamic products, products with non-specular optical characteristics, light re-directing products) to achieve widespread use, fenestration modeling software needs to be improved. This paper addresses the following questions: 1) Are the current properties (U, SHGC, VT) calculated sufficient to compare and distinguish between windows suitable for Zero Energy Buildings and conventional window products? If not, what data on the thermal and optical performance, on comfort, and on peak demand of windows is needed. 2) Are the algorithms in the tools sufficient to model the thermal and optical processes? Are specific heat transfer and optical effects not accounted for? Is the existing level of accuracy enough to distinguish between products designed for Zero Energy Buildings? Is the current input data adequate? ",simbuild2006
simbuild2006_SB06_145_152,SB06_145_152,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_145_152.pdf,145,152,8,,,"Alexandra (Aleka), Pappas;  Zhiqiang (John), Zhai","Enermodal Engineering, Inc., Denver, CO; University of Colorado at Boulder, Boulder, CO ",Energy Simulation of a Double Skin Facade: A Process Using CFD and EnergyPlus,,"This research presents a validated modeling process for analyzing the thermal performance of a naturally ventilated double skin facade (DSF) using an annual building energy simulation program (BESP) such as EnergyPlus along with a computational fluid dynamics (CFD) package. The model is used to develop correlations that can be implemented in a BESP, allowing users to take advantage of the accuracy gained from the CFD simulations without the required computation time. Correlations were developed for airflow rate through the cavity, average cavity air temperature, and interior convection coefficient. The correlations were used to identify deficiencies of EnergyPlus for this application in both its mixed air zone air temperature calculation and in its available correlations for interior convection coefficient. The correlations also served to validate the ability of the COMIS link to predict an accurate airflow rate through the cavity.",simbuild2006
simbuild2006_SB06_153_159,SB06_153_159,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_153_159.pdf,153,159,7,,,"Brent, Griffith","National Renewable Energy Laboratory, Golden, CO ",A Model for Naturally Ventilated Cavities on the Exteriors of Opaque Building Thermal Envelopes,,"This paper describes a model for naturally ventilated cavities that are formed by lightweight baffles on the exteriors of opaque building thermal envelopes. The model can be used for building components that are slightly detached from the main envelope (but do not connect to the interior), such as photovoltaic panels, double roofs, rain screens, and unglazed transpired collectors. The model provides values for baffle surface temperature as well as exterior boundary conditions for convection and radiation to use in modeling heat transfer in the underlying surface. Two quasi-steady energy balances are used to solve for temperatures: one for the baffle surface and the other for the air in the cavity. The model assumes that the heat capacity in the baffle can be neglected, since it is much lower than the underlying mass surface. Natural ventilation rates are calculated with simplistic correlations that are based on user-provided discharge coefficients. Convection coefficients inside the cavity are based on those used for window gaps as documented in ISO (2003) Standard 15099. Radiation coefficients are linearized. The model has been implemented in EnergyPlus.",simbuild2006
simbuild2006_SB06_160_167,SB06_160_167,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_160_167.pdf,160,167,8,,,"Ian, Doebber;  Maurya, McClintock","Arup, San Francisco, CA",Analysis Process for Designing Double Skin Facades and Associated Case Study,,"Double Skin Facade systems, adopted prevalently across Europe for a number of years, are becoming increasingly popular in the United States. However, the design community lacks validated modelling programs and the knowledge base (established on real performance data) necessary to understand the complex thermal behaviour of Double Skin Facade systems. The following paper summarizes how naturally ventilated Double Skin Facades systems are analyzed and designed despite limitations. Specifically, the paper highlights how currently published information and a suite of modelling programs are used to determine: the critical design criteria affecting thermal performance, the optimal solution to those criteria, and the anticipated performance of the final design. The intention is to provide insight for research initiatives to make real performance data publicly available, establish analysis methods, and to develop validated modelling programs.",simbuild2006
simbuild2006_SB06_168_173,SB06_168_173,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_168_173.pdf,168,173,6,,,"Steve, Morlino;  Rodney, Williams;  Edward, Brzezowski","Newark Public Schools, 2 Cedar Street, Newark, NJ 07102; Ferreira Group, 31 Tannery Road, Branchburg, NJ 08876",Building as a Learning Tool: Facility Management and Simulation in the Classroom,,"Building as a Learning Tool is a work in progress that uses a facility management portal that provides energy data from a building's electric and gas meters in an easy-to-read, near real-time, web-based format. The data are displayed on gauges that resemble those found on an automobile dashboard. This organization and manipulation of data never before possible aids in the rapid interpretation of a building’s energy use, permits comparisons to simulations of how the building operates under different conditions, and provides an opportunity to assess the impact that changes or repairs to the building have on energy usage. In addition to improving building performance in the Newark Public School District, Building as a Learning Tool allows students to learn how a school building can and should perform under various operating conditions.",simbuild2006
simbuild2006_SB06_174_182,SB06_174_182,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_174_182.pdf,174,182,9,,,"Leslie K., Norford","Building Technology Program, Department of Architecture, Massachusetts Institute of Technology, Cambridge, MA 02139 ","Using Simulation Tools in a University Laboratory Course: Assessing the Performance of a Health-Care Center in Lusaka, Zambia",,"As part of a building-technology laboratory class, students were asked to evaluate the performance of a proposed health-care center for Lusaka, Zambia. The building was designed to be constructed at modest cost, operated at very low cost and as independently as possible of utility services, and comfortable throughout the year with no active heating or cooling. The evaluation consisted of a combination of scale-model measurements and simulation. Daylighting was simulated with a simple CAD model and a radiositybased program, with attention to surface properties. Wind-driven airflows were measured in a 1:24 scale model of the cluster of buildings that comprise the health-care center, converted to air-change rates, and scaled to the full-size buildings. Buoyancy-driven flows were simulated in a nodal-analysis program. Airflow rates were imported into a one-node dynamic thermal-analysis program to estimate diurnal temperatures and evaluate thermal comfort. Retention of rainwater for use in toilets, evaporative cooling of ventilation air, and generation of electricity from photovoltaic panels were also calculated. Results indicated that interior spaces were generally well lit during daylight hours and that peak indoor temperatures were no higher than the outdoor peak values, which vary from 21 to 30 degrees C seasonally.",simbuild2006
simbuild2006_SB06_183_190,SB06_183_190,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_183_190.pdf,183,190,8,,,"Prechaya, Mahattanatawe;  Charunpat, Puvanant;  Darunee, Mongkolsawat","Faculty of Architecture, Silpakorn University, Bangkok, Thailand ",The Energy Performance of the Cold-Formed Steel-Frame and Wood-Frame Houses Developed for Thailand,,"This paper presents the energy consumption of a twostorey detached house in Thailand constructed by three different systems: concrete-frame house, steelframe house, and wood-frame house. The EnergyPlus software was used to simulate the energy performance of the houses. Different methods for simulating framing construction were compared in order to choose the appropriate one. The energy consumption of the houses was then investigated based on the selected method. The construction cost and electricity cost of different types of houses were analyzed to determine the economical system.",simbuild2006
simbuild2006_SB06_191_199,SB06_191_199,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_191_199.pdf,191,199,9,,,"Ashfaque Ahmed, Chowdhury;  Mohammad Golam, Rasul;  Mohammad Masud Kamal, Khan","School of Advanced Technologies and Processes, Faculty of Sciences, Engineering and Health, Central Queensland University, Rockhampton, Queensland 4701, Australia ",Low Energy Cooling Technologies for Sub-Tropical/Warm Humid Climate Building Systems,,"The paper aims to investigate the technologies of low energy cooling that are compatible with existing buildings in order to reduce the energy consumption and peak demand associated with the cooling of institutional or commercial buildings in subtropical Queensland, Australia. The performance and effectiveness of a standard direct-expansion airconditioning system are compared with those of a chilled ceiling radiant cooling system and a mixed-mode system that combines natural and mechanical ventilation within the building systems in a subtropical climate. The simulation results suggest that the chilled ceiling technique is preferable compared to the mixedmode technique for efficient operation over the whole year and energy savings of 13-14% are achievable. An example of a building plan and materials is used to run the base case. DesignBuilder, an EnergyPlus based dynamic thermal simulation engine, is the simulation and visualization tool of the study.",simbuild2006
simbuild2006_SB06_200_209,SB06_200_209,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_200_209.pdf,200,209,10,,,"Mini, Malhotra;  Jeff, Haberl","Department of Architecture, Energy Systems Laboratory, Texas A&M University, College Station, Texas",An Analysis of Building Envelope Upgrades for Residential Energy Efficiency in Hot and Humid Climates,,"This paper presents the results of the analyses of various envelope upgrades for residential energyefficiency in hot and humid climates. The building components considered for the upgrades include: building shape, construction type, roof and exterior walls, and windows. A DOE-2 simulation model of a 2000/2001 IECC code-compliant house in Houston, Texas, was used for the analysis. The results demonstrated the effect of incremental changes in these properties on the building's energy use, and showed that combining potential envelope upgrades can accomplish a 55% cooling energy use reduction, a 100% heating energy use reduction, and a 16% total energy use reduction for code-compliant houses in hot and humid climates.",simbuild2006
simbuild2006_SB06_210_219,SB06_210_219,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_210_219.pdf,210,219,10,,,"Robert, Hendron","National Renewable Energy Laboratory, Golden, CO ",Whole-House Energy Analysis Procedures for Existing Homes,,This paper describes a proposed set of guidelines for analyzing the energy savings achieved by a package of retrofits or an extensive rehabilitation of an existing home. It also describes certain field test and audit methods that can help establish accurate building system performance characteristics that are needed for a meaningful simulation of whole-house energy use. Several sets of default efficiency values have been developed for older appliances that cannot be easily tested and for which published specifications are not readily available. These proposed analysis procedures are documented more comprehensively in NREL Technical Report TP-550-38238 (Hendron 2006). ,simbuild2006
simbuild2006_SB06_220_230,SB06_220_230,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_220_230.pdf,220,230,11,,,"Jinchao, Yuan;  Leon R., Glicksman","Building Technology Program, Massachusetts Institute of Technology, 5-418, 77 Massachusetts Ave, Cambridge, MA 02139",Validation of a Multi-Zone Model with Integrated Energy Equation and Impact of Thermal Mass Modeling Methodology,,"In this paper, the issue of thermal mass modeling is investigated in the process of validating an integrated multi-zone program that couples energy equation solving for air and thermal mass temperatures. The predicted air temperatures in different spaces are preliminarily compared with the field measurement data to validate the program. The discrepancies are analyzed and explained by the direct radiation absorption of the thermal mass. Sensitivity analysis of the radiation absorption ratio on the air and thermal mass temperature predictions are conducted. The validation is conducted again based on the sensitivity analysis. A simple radiation module is developed to estimate the portion of direct radiation to the thermal mass. The agreement between simulation and measurement data shows overall improvements with proper consideration of the radiation absorption.",simbuild2006
simbuild2006_SB06_231_237,SB06_231_237,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_231_237.pdf,231,237,7,,,"Diego, Arias","University of Wisconsin – Madison, Madison, WI",Advances on the Coupling Between a Commercial CFD Package and a Component-Based Simulation Program,,"This paper presents the development of an automatic coupling between the component-based system simulation program TRNSYS and the general-purpose CFD package FLUENT. Due to the nature of the iterative solution strategy in TRNSYS, the coupling can be considered as a fully-dynamic coupling, as the CFD component iterates with all of the other components in the system in order to obtain a converged solution at each time step. The connection between the two programs takes place by running the CFD program from TRNSYS through a script file written by TRNSYS during the simulation. The results from the CFD simulation are then used by other component model within TRNSYS to simulate the behavior of the rest of the system.",simbuild2006
simbuild2006_SB06_238_244,SB06_238_244,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_238_244.pdf,238,244,7,,,"Zhen, Tian;  James A., Love","University of Calgary, Canada ",Radiant Slab Cooling: A Case Study of Building Energy Performance,,"This paper introduces a case study of an existing multifloor radiant slab cooling system through simulation and field measurements. EnergyPlus was selected based on a review of currently-available simulation programs. Real weather data were used and the model was calibrated with metered energy data. Simulated energy uses and indoor thermal conditions were compared with measured data to evaluate comfort conditions and operations. The exercise revealed problems in the existing EnergyPlus low-temperature radiant cooling/heating module and some uncertainties in the simulation model. Major problems in the control of the HVAC systems were identified, and remedial measures are proposed.",simbuild2006
simbuild2006_SB06_245_251,SB06_245_251,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_245_251.pdf,245,251,7,,,"Zhen, Tian;  James A., Love","University of Calgary, Canada ",Radiant Slab Cooling: A Field Study of Occupant Thermal Comfort,,"This paper introduces a field study of thermal comfort with radiant slab cooling systems. The study combined field measurements and questionnaires based on the ASHRAE RP-921 project protocol. The observed occupant mean thermal votes with a radiant cooling were generally consistent with the PMV model. Detailed assessment indicates that personal, contextual and psychological factors did not affect occupant thermal votes at the time of this survey. The main advantage of radiant cooling for thermal comfort was found to be reduced local thermal discomfort with reduced vertical air temperature difference as well as reduced draft rate. The survey results also reveal that about 14-22% of participants in the survey reported local cold discomfort in the arm-hand and the leg-foot regions.",simbuild2006
simbuild2006_SB06_252_261,SB06_252_261,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_252_261.pdf,252,261,10,,,"Yiqun, Pan;  Zhizhong, Huang;  Gang, Wu;  Chen, Chen","Tongji University, Shanghai, China; East China Architectural Design & Research Institute, Shanghai, China; Shanghai Real-estate Science Research Institute, Shanghai, China ",The Application of Building Energy Simulation and Calibration in Two High-Rise Commercial Buildings in Shanghai,,"The method of calibrated computer simulation is summarized and introduced based on related literatures and guidelines, which is used to analyze the energy consumption of two high-rise commercial buildings in Shanghai, China. The detailed data of the buildings and systems are collected and input to build up models with DOE-2, then the output of simulation is compared to the measured energy consumption data to refine and calibrate the models. Several energy conservation measures (ECMs) are analyzed based on the calibrated models, including using variable speed chilled water pumps instead of constant variable speed ones, using free cooling during winter and mild seasons, replacing old low efficiency cooling towers with new high efficiency ones, decreasing lighting power densities. Energy saving performance is simulated and calculated to find out which ECM is the best option for each building.",simbuild2006
simbuild2006_SB06_262_269,SB06_262_269,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_262_269.pdf,262,269,8,,,"Michael, Wetter;  Christoph, Haugstetter","United Technologies Research Center, 411 Silver Lane, East Hartford, CT 06108, USA",Modelica Versus TRNSYS - A Comparison Between an Equation-Based and a Procedural Modeling Language for Building Energy Simulation,,"We present the implementation of a multizone building energy simulation model in the equationbased modeling language Modelica and compare it to an implementation with comparable modeling detail in TRNSYS. Our development time comparison indicates a five to ten times faster development through use of the equation-based modeling language Modelica. The development time for TRNSYS was extrapolated using data from BuildOpt and comparison between BuildOpt and TRNSYS since TRNSYS data were not available. We provide a comparative model validation of the Modelica and TRNSYS implementation, and compare their numerical performance. The difference in predicted annual heating and cooling energy usage between our Modelica model and TRNSYS is 5% to 20%, which we primarily attribute to our simplified window model. The computation time of the Modelica model was three to four times longer than TRNSYS, but we believe that dismissing equation-based modeling languages as computationally inefficient is a premature conclusion.",simbuild2006
simbuild2006_SB06_270_276,SB06_270_276,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_270_276.pdf,270,276,7,,,"Bryan, Urban;  Leon, Glicksman","Massachusetts Institute of Technology, Cambridge, MA","The MIT Design Advisor - A Fast, Simple Tool for Energy Efficient Building Design",,"We present a simplified software tool for architects to assist with early-stage design of energy efficient buildings. Energy consumption in the buildings sector accounts for 25 to 30 percent of global carbon dioxide emissions. Due to inherent complexity, building modeling tools are often deferred to the later stages of design. In later stages many decisions are already finalized and the opportunities for design improvement are limited, expensive, and harder to implement. By helping designers address efficiency and comfort in the first hours of the design process, significant energy savings can be realized more easily and at reduced cost. We provide an overview of the Design Advisor tool (http://designadvisor.mit.edu) including the input parameters, results, and some important modeling information.",simbuild2006
simbuild2006_SB06_277_284,SB06_277_284,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_277_284.pdf,277,284,8,,,"Jerry Jen-Hung, Tsai;  John S., Gero","Key Centre of Design Computing and Cognition, University of Sydney, Australia ",Qualitative Archi Bond Graphs for Building Simulation of People Behaviour and Energy Variation,,This paper presents the construction and application of an approach called qualitative Archi Bond Graphs developed as a unified representation for building design that can be used for simulation. The construction of qualitative Archi Bond Graphs includes graphical representations and qualitative equations. Qualitative Archi Bond Graphs can be applied in the conceptual stage of building design.,simbuild2006
simbuild2006_SB06_285_292,SB06_285_292,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_285_292.pdf,285,292,8,,,"Daniel C., Glaser;  F. Whitney, Smith;  Barb, Cutler","Department of Language Literature and Communication; School of Information Technology; Computer Science Department, Rensselaer Polytechnic Institute, Troy, NY",Using Video for Analyzing Daylight Simulation Tools,,"This paper describes how socio-technical techniques can be employed to analyze video data of people using daylight simulation tools. We present and compare two different studies: the first is a classroom exercise using a heliodon, a classic daylighting analysis tool; and in the second a lighting professional is asked to use a new data visualization plot. We believe video is a powerful asset for interpreting the usability and effectiveness of these tools.",simbuild2006
simbuild2006_SB06_293_301,SB06_293_301,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_293_301.pdf,293,301,9,,,"Mangesh, Basarkar;  Muthusamy, Swami","Florida Solar Energy Center, Cocoa, FL – 32826, USA",IFC to CONTAM Translator,,"Building security issues are of serious concern in the industry today. This paper will describe the design, development and testing of a software tool that can be effectively used to translate three dimensional building data sets of geometry, materials and HVAC components into an input file for the airflow and contaminant concentration simulation program CONTAM. The objective of the exercise is to allow for shorter turnaround time in evaluating IAQ strategies and building security related issues. The software tool, 'fsIFCCTM', has been successfully tested to translate 3-D building elements like spaces, walls, doors, windows, and HVAC components like ducts, duct junctions, terminals, fans, filters etc. With additional work, the software can be further extended to translate elements like sensors and controls. It uses the Industry Foundation Classes (IFC) data model for achieving the translation.",simbuild2006
simbuild2006_SB06_302_311,SB06_302_311,https://publications.ibpsa.org/proceedings/simbuild/2006/papers/simbuild2006_SB06_302_311.pdf,302,311,10,,,"David E., Bradley;  D. Michael, Utzinger","Thermal Energy System Specialists, LLC, Madison, WI; University of Wisconsin - Milwaukee, Milwaukee, WI",Natural Ventilation Measurements and Simulation at Two Milwaukee Nature Centers,,"A series of measurements and simulations carried out on two naturally ventilated spaces at Milwaukee area nature centers suggest that while wind is admittedly an intermittent and unpredictable driving force, satisfactory ventilation and carbon dioxide removal rates of interior spaces can be reliably achieved and can be reasonably simulated.",simbuild2006
simbuild2008_TS01-1-Witte,TS01-1-Witte,https://publications.ibpsa.org/proceedings/simbuild/2008/papers/simbuild2008_TS01-1-Witte.pdf,1,8,8,,,"Michael J., Witte;  Robert H., Henninger;  Drury B., Crawley","GARD Analytics, Inc., Park Ridge, IL; U.S. Department of Energy, Washington, DC",Development of New Self-Comparison Test Suites for EnergyPlus,,"The EnergyPlus building simulation software has been tested using ANSI/ASHRAE Standard 140 comparative tests, ASHRAE 1052-RP analytical tests, IEA HVAC BESTEST analytical and comparative tests, and several other IEA test suites which are in development. Another valuable test method has been the use of selfcomparison"" test suites developed specifically to test EnergyPlus against itself. These self-comparison test suites involve a series of tests which check for consistency of results using just one simulation program. There are no analytical or comparative results to compare against. While these test suites could certainly be extended to comparisons between programs",simbuild2008
simbuild2008_TS01-2-McKinley,TS01-2-McKinley,https://publications.ibpsa.org/proceedings/simbuild/2008/papers/simbuild2008_TS01-2-McKinley.pdf,9,16,8,,,"Thomas L., McKinley;  Andrew G., Alleyne","Department of Mechanical Science and Engineering, University of Illinois at Urbana-Champaign, Urbana, IL",Identification of Building Model Parameters and Loads Using On-Site Data Logs,,"To minimize energy consumption, one must understand a building's thermal characteristics, usage patterns, and local environment. This information is frequently not known a priori. Although this presents a significant barrier, a system identification procedure combining building simulation and on-site measurements enables the unknowns to be estimated. This paper presents two novel processes for determining time-invariant model parameters and time-varying loads. The computational effort, accuracy, and repeatability are quantified using model generated ""on site"" data logs for a three story office building. The resulting self-calibrating models are extremely valuable for controls and diagnostic purposes in intelligent building systems.",simbuild2008
simbuild2008_TS01-3-Morrison,TS01-3-Morrison,https://publications.ibpsa.org/proceedings/simbuild/2008/papers/simbuild2008_TS01-3-Morrison.pdf,17,22,6,,,"Linda, Morrison;  Renée, Azerbegi;  Andy, Walker","ambient energy, 130 West 5th Street, Denver, Colorado, USA ",Energy Modeling for Measurement and Verification,,"The new LEED-NC version 2.2 requirements incorporate energy modeling which forms the foundation of the measurement and verification process for the Whole Building Calibrated Simulation. As integrated design is adopted by project teams, the energy modeler can play a key role to achieve a successful measurement and verification program. The purpose of this paper is to provide guidelines for using energy modeling as a foundation of measurement and verification as well as using the energy model to shape the controls and operation during the design, construction and operation process.",simbuild2008
